"Field","Original","Count","Suggested","Action","Confidence","Notes"
"Discipline","Mechanical","1240","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","Electrical","218","Electrical","UPDATE","medium","electrical/light current/fire alarm family"
"Discipline","Structural","212","Civil","UPDATE","medium","civil/structural/infrastructure family; review structural separately if needed"
"Discipline","BIM","57","BIM","UPDATE","high","BIM-related value"
"Discipline","Architecture","37","Architecture","UPDATE","medium","architecture/interior family"
"Discipline","Civil","13","Civil","UPDATE","medium","civil/structural/infrastructure family; review structural separately if needed"
"Discipline","مساح","5","Surveying","UPDATE","high","surveying value"
"Discipline","Mechatronics","5","Mechatronics","UPDATE","high","mechatronics value"
"Discipline","Petroleum","4","Petroleum","UPDATE","high","petroleum value"
"Discipline","HSE","4","HSE","UPDATE","high","safety/HSE value"
"Discipline","Chemical","4","Chemical","UPDATE","medium","chemical/process/chemist family"
"Discipline","Agriculture","4","Agricultural Engineering","UPDATE","medium","agriculture/landscape/irrigation family"
"Discipline","Cost control","3","Project Controls / Technical Office","UPDATE","low","business role; review taxonomy"
"Discipline","Production","2","Operations / Maintenance","UPDATE","low","operations role; review taxonomy"
"Discipline","bms","2","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","Maintenance","2","Operations / Maintenance","UPDATE","low","operations role; review taxonomy"
"Discipline","Chemical engineer","2","Chemical","UPDATE","medium","chemical/process/chemist family"
"Discipline","It","2","Information Technology","UPDATE","medium","IT/software value"
"Discipline","Surveying","2","Surveying","UPDATE","high","surveying value"
"Discipline","Agricultural engineering","2","Agricultural Engineering","UPDATE","medium","agriculture/landscape/irrigation family"
"Discipline","Communication","2","Communication","KEEP_REVIEW","low","needs manual review"
"Discipline","Operation","1","Operations / Maintenance","UPDATE","low","operations role; review taxonomy"
"Discipline","بنيه تحتيه","1","Civil","UPDATE","medium","civil/structural/infrastructure family; review structural separately if needed"
"Discipline","Unit head","1","Project Controls / Technical Office","UPDATE","low","business role; review taxonomy"
"Discipline","Infrastructure civil engineer","1","Civil","UPDATE","medium","civil/structural/infrastructure family; review structural separately if needed"
"Discipline","FLS Engineer","1","Electrical","UPDATE","medium","electrical/light current/fire alarm family"
"Discipline","Frontend web development","1","Information Technology","UPDATE","medium","IT/software value"
"Discipline","Dev","1","Information Technology","UPDATE","medium","IT/software value"
"Discipline","management","1","Project Controls / Technical Office","UPDATE","low","business role; review taxonomy"
"Discipline","الصيانة الميكانيكية","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","مدير مكتب فنى - مهندس مدنى","1","Civil","UPDATE","medium","civil/structural/infrastructure family; review structural separately if needed"
"Discipline","Light current","1","Electrical","UPDATE","medium","electrical/light current/fire alarm family"
"Discipline","عماره داخليه وتصميم داخلي واثاث","1","Architecture","UPDATE","medium","architecture/interior family"
"Discipline","Agriculture Engineer","1","Agricultural Engineering","UPDATE","medium","agriculture/landscape/irrigation family"
"Discipline","Production chemist","1","Chemical","UPDATE","medium","chemical/process/chemist family"
"Discipline","safety","1","HSE","UPDATE","high","safety/HSE value"
"Discipline","بترول","1","Petroleum","UPDATE","high","petroleum value"
"Discipline","Thecnical","1","Thecnical","KEEP_REVIEW","low","needs manual review"
"Discipline","Highway technical office engineer","1","Civil","UPDATE","medium","civil/structural/infrastructure family; review structural separately if needed"
"Discipline","مهندس جوده طباعه","1","مهندس جوده طباعه","KEEP_REVIEW","low","needs manual review"
"Discipline","Petrochemical","1","Chemical","UPDATE","medium","chemical/process/chemist family"
