"Field","Original","Count","Suggested","Action","Confidence","Notes"
"Discipline","Mechanical","1240","Mechanical","KEEP","high","already canonical"
"Discipline","Electrical","218","Electrical","KEEP","high","already canonical"
"Discipline","Structural","212","Structural","KEEP","high","already canonical"
"Discipline","BIM","57","BIM","KEEP","high","already canonical"
"Discipline","Architecture","37","Architecture","KEEP","high","already canonical"
"Discipline","Civil","13","Civil","KEEP","high","already canonical"
"Discipline","مساح","5","Surveying","UPDATE","high","surveying value"
"Discipline","Mechatronics","5","Mechatronics","UPDATE","high","mechatronics value"
"Discipline","Petroleum","4","Petroleum","UPDATE","high","petroleum value"
"Discipline","HSE","4","HSE","UPDATE","high","safety/HSE value"
"Discipline","Chemical","4","Chemical","UPDATE","medium","chemical/process/chemist family"
"Discipline","Agriculture","4","Agricultural Engineering","UPDATE","medium","agriculture/landscape/irrigation family"
"Discipline","Cost control","3","Cost control","REVIEW_TAXONOMY","low","role/business function; decide whether to keep as discipline or separate category"
"Discipline","Production","2","Production","REVIEW_TAXONOMY","low","role/business function; decide whether to keep as discipline or separate category"
"Discipline","bms","2","Electrical","UPDATE","medium","electrical/light current/BMS/FLS family"
"Discipline","Maintenance","2","Maintenance","REVIEW_TAXONOMY","low","role/business function; decide whether to keep as discipline or separate category"
"Discipline","Chemical engineer","2","Chemical","UPDATE","medium","chemical/process/chemist family"
"Discipline","It","2","Information Technology","UPDATE","medium","IT/software value"
"Discipline","Surveying","2","Surveying","UPDATE","high","surveying value"
"Discipline","Agricultural engineering","2","Agricultural Engineering","UPDATE","medium","agriculture/landscape/irrigation family"
"Discipline","Communication","2","Electrical","UPDATE","medium","electrical/light current/BMS/FLS family"
"Discipline","Operation","1","Operation","REVIEW_TAXONOMY","low","role/business function; decide whether to keep as discipline or separate category"
"Discipline","بنيه تحتيه","1","Civil","UPDATE","medium","civil/infrastructure family"
"Discipline","Unit head","1","Unit head","REVIEW_TAXONOMY","low","role/business function; decide whether to keep as discipline or separate category"
"Discipline","Infrastructure civil engineer","1","Civil","UPDATE","medium","civil/infrastructure family"
"Discipline","FLS Engineer","1","Electrical","UPDATE","medium","electrical/light current/BMS/FLS family"
"Discipline","Frontend web development","1","Information Technology","UPDATE","medium","IT/software value"
"Discipline","Dev","1","Information Technology","UPDATE","medium","IT/software value"
"Discipline","management","1","management","REVIEW_TAXONOMY","low","role/business function; decide whether to keep as discipline or separate category"
"Discipline","الصيانة الميكانيكية","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","مدير مكتب فنى - مهندس مدنى","1","Civil","UPDATE","medium","civil/infrastructure family"
"Discipline","Light current","1","Electrical","UPDATE","medium","electrical/light current/BMS/FLS family"
"Discipline","عماره داخليه وتصميم داخلي واثاث","1","Architecture","UPDATE","medium","architecture/interior family"
"Discipline","Agriculture Engineer","1","Agricultural Engineering","UPDATE","medium","agriculture/landscape/irrigation family"
"Discipline","Production chemist","1","Chemical","UPDATE","medium","chemical/process/chemist family"
"Discipline","safety","1","HSE","UPDATE","high","safety/HSE value"
"Discipline","بترول","1","Petroleum","UPDATE","high","petroleum value"
"Discipline","Thecnical","1","Thecnical","KEEP_REVIEW","low","needs manual review"
"Discipline","Highway technical office engineer","1","Civil","UPDATE","medium","civil/infrastructure family"
"Discipline","مهندس جوده طباعه","1","مهندس جوده طباعه","KEEP_REVIEW","low","needs manual review"
"Discipline","Petrochemical","1","Chemical","UPDATE","medium","chemical/process/chemist family"
"Discipline","Irrigation","1","Agricultural Engineering","UPDATE","medium","agriculture/landscape/irrigation family"
"Discipline","Process engineer","1","Chemical","UPDATE","medium","chemical/process/chemist family"
"Discipline","information technology","1","Information Technology","UPDATE","medium","IT/software value"
"Discipline","Infra structure","1","Civil","UPDATE","medium","civil/infrastructure family"
"Discipline","Traffic engineer","1","Civil","UPDATE","medium","civil/infrastructure family"
"Discipline","Maintenance planner","1","Maintenance planner","REVIEW_TAXONOMY","low","role/business function; decide whether to keep as discipline or separate category"
"Discipline","utilities","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","اخصائي شؤون الموظفين","1","","REVIEW_NON_ENGINEERING","high","non-engineering role"
"Discipline","Computer science","1","Information Technology","UPDATE","medium","IT/software value"
"Discipline","Handover","1","Handover","REVIEW_TAXONOMY","low","role/business function; decide whether to keep as discipline or separate category"
"Discipline","هندسة زراعية","1","Agricultural Engineering","UPDATE","medium","agriculture/landscape/irrigation family"
"Discipline","اعمال السلامة الانذار والاطفاء","1","Electrical","UPDATE","medium","electrical/light current/BMS/FLS family"
"Discipline","Infrastructural engineering","1","Structural","UPDATE","high","structural alias"
"Discipline","Interior and furniture design","1","Architecture","UPDATE","medium","architecture/interior family"
"Discipline","مدنى / سيفتى","1","Civil","UPDATE","medium","civil/infrastructure family"
"Discipline","Wet Utilities Engineer","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","marine construction works","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","Pluming","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","Water treatment","1","Mechanical","UPDATE","medium","mechanical/HVAC/MEP family"
"Discipline","Autocad Drawer","1","Drafting / CAD","UPDATE","medium","CAD/drafting role"
"Discipline","Civil Execution Engineer","1","Civil","UPDATE","medium","civil/infrastructure family"
"Discipline","Furniture production","1","Architecture","UPDATE","medium","architecture/interior family"
